15
0,8,30
0,9,12
0,12,-20
1,6,11
2,3,7
2,4,-20
2,5,35
2,7,32
2,8,28
2,9,36
2,10,9
3,4,40
3,5,10
3,8,-1
3,9,30
4,1,40
4,6,6
4,11,7
4,12,5
5,0,23
5,1,-10
5,3,35
5,7,-14
5,10,-12
5,13,17
6,4,14
6,5,-2
6,12,22
7,0,16
7,1,25
7,2,-11
7,3,40
7,4,25
7,8,39
7,9,33
7,14,-6
8,0,15
8,2,-15
8,3,-2
8,4,21
8,5,27
8,7,33
8,9,27
8,10,-4
8,12,37
8,14,24
9,1,2
9,5,-14
9,7,2
9,8,4
9,10,10
9,12,-14
9,14,25
10,1,37
10,2,-4
10,12,20
11,1,6
12,0,-20
12,2,39
12,6,31
12,7,21
12,10,6
12,13,38
12,14,5
13,0,-19
13,1,-16
13,2,-1
13,5,38
13,6,18
13,7,9
13,9,-19
13,12,27
12
