17
0,4,-1
0,7,11
0,10,39
0,15,-10
0,16,-9
1,3,26
1,5,35
1,6,25
1,8,-20
1,9,7
1,11,29
1,14,-12
2,1,-6
2,5,39
2,15,-8
3,11,22
3,13,36
3,14,11
4,12,-19
5,2,27
6,2,10
6,3,5
6,4,-8
6,5,35
6,8,-10
6,11,23
6,13,7
6,14,27
6,15,31
7,0,9
7,2,4
7,3,-12
7,11,10
7,12,40
7,13,26
7,14,-4
7,16,39
8,0,-17
8,2,7
8,3,-16
8,5,13
8,6,14
8,10,-18
8,11,23
8,12,29
8,13,26
9,2,27
9,4,30
9,16,10
10,1,12
10,2,-9
10,3,1
10,6,-17
10,9,37
10,12,2
10,14,15
10,15,-13
11,4,7
11,8,30
11,15,10
11,16,6
12,0,31
12,2,-16
12,4,27
12,8,-15
12,10,23
12,11,24
12,15,-4
12,16,-4
13,0,-13
13,2,-20
13,7,2
13,11,-15
13,12,13
14,15,18
15,0,7
15,3,-18
15,7,28
15,8,4
15,10,32
15,11,23
15,14,8
15
