16
0,1,1
0,2,33
0,3,-17
0,5,-4
0,7,-11
0,8,33
0,13,24
0,14,4
1,5,21
1,10,19
1,13,-20
1,14,33
2,1,-12
2,3,34
2,5,2
2,7,22
2,11,16
2,12,18
2,13,17
3,2,-12
3,6,39
3,10,-7
3,14,20
4,1,36
4,2,11
4,5,-3
4,7,-5
4,9,26
4,10,8
4,12,-20
4,13,-7
5,0,-20
5,1,27
5,3,-6
5,8,22
5,11,-8
5,13,14
5,14,-10
6,3,-11
6,10,-17
6,11,16
6,15,-2
7,4,-2
7,11,14
7,14,-9
8,1,30
8,2,23
8,3,-3
8,5,13
8,9,14
9,2,-12
10,1,-14
10,8,6
11,1,-14
11,5,-20
11,6,-1
11,8,6
11,9,22
11,12,15
11,14,-12
11,15,16
12,0,12
12,3,9
12,5,-19
12,6,18
12,7,-20
12,8,9
12,10,37
12,11,29
12,14,8
13,0,-1
13,2,7
13,3,26
13,5,-14
13,8,28
13,15,21
14,0,-6
14,1,20
14,3,-15
14,4,14
14,5,32
14,6,23
14,7,22
14,8,-4
14,9,22
2
