19
0,1
0,2
0,4
0,6
0,7
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,17
0,18
1,3
1,5
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,15
1,18
2,3
2,4
2,6
2,8
2,10
2,11
2,14
2,15
2,17
2,18
3,4
3,5
3,7
3,8
3,10
3,11
3,16
3,17
4,5
4,6
4,7
4,8
4,10
4,11
4,14
4,15
4,17
5,6
5,8
5,10
5,11
5,13
5,14
5,16
6,7
6,8
6,10
6,11
6,12
6,13
6,14
6,15
6,17
6,18
7,10
7,16
7,18
8,10
8,12
8,13
8,14
8,15
8,16
8,17
8,18
9,10
9,11
9,13
9,15
9,17
10,11
10,12
10,13
10,16
10,17
11,13
11,15
11,16
12,15
12,18
13,14
13,18
14,16
14,17
14,18
15,16
16,17
7
